Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/25/2024 14:39:43,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024 14:40:03,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 14:40:26,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 14:40:44,Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Sometimes,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 14:41:05,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/25/2024 14:44:33,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:45:02,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 14:45:46,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 14:46:29,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/25/2024 14:46:59,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 14:51:35,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/25/2024 14:53:03,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/25/2024 15:00:28,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:02:22,Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:03:27,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:03:49,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:04:31,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:05:08,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 15:05:59,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 15:06:32,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024 15:06:50,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 15:07:09,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:07:28,Graduate student,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 15:08:42,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/25/2024 15:09:52,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 15:11:20,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 15:12:24,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:13:13,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:14:43,Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 15:16:46,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 16:10:27,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 16:11:07,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 16:12:57,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 16:58:40,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/25/2024 16:59:38,Graduate student,Female,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 17:37:37,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/25/2024 17:38:08,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/25/2024 17:38:32,Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 17:40:37,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 17:41:11,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 18:02:11,Third year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/25/2024 18:02:32,Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/25/2024 18:02:53,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/25/2024 18:03:34,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 18:04:04,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/25/2024 18:04:24,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/25/2024 19:54:43,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/25/2024 21:10:07,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/26/2024 7:52:34,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
10/26/2024 7:53:36,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 7:53:56,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
10/26/2024 7:54:18,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 7:54:50,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/26/2024 7:55:18,Third year,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Below Average
10/26/2024 7:57:08,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:57:30,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Poor
10/26/2024 7:58:01,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:58:21,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/26/2024 7:58:40,Third year,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 7:58:59,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:59:21,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 7:59:40,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 8:00:15,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:00:46,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Average
10/26/2024 8:01:05,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:02:03,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:02:44,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:03:07,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/26/2024 8:03:45,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:07:04,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:07:34,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 8:08:49,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/26/2024 8:22:11,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 8:32:28,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 8:33:27,Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 8:34:27,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:36:25,Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor
10/26/2024 8:50:52,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/26/2024 8:52:12,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:55:29,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 8:55:48,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 8:56:07,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 8:57:12,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 8:58:38,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 8:58:58,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 9:06:53,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 9:09:25,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 9:12:38,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 9:16:00,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 9:54:07,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 9:55:04,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor
10/26/2024 9:57:26,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Average
10/26/2024 10:00:32,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 10:00:58,Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 10:01:52,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 10:02:09,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Average,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 10:02:26,Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/26/2024 10:08:51,Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 10:09:25,Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 10:10:15,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 10:11:18,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 10:11:41,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/26/2024 10:13:01,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor
10/26/2024 10:13:37,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 10:14:22,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 10:14:59,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 10:15:20,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 10:16:32,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 10:28:58,Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor
10/26/2024 10:29:17,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor
10/26/2024 13:55:02,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/26/2024 13:55:34,Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 13:56:00,Graduate student,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 13:56:24,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 13:56:53,Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 13:57:20,First year,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average
10/26/2024 13:57:40,Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 13:57:57,Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 13:58:14,Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 13:58:31,Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 13:58:48,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 13:59:05,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor
10/26/2024 13:59:24,Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 13:59:41,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 14:00:04,Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor
10/26/2024 14:00:20,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 14:00:42,Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 14:01:00,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Good
10/26/2024 14:01:17,Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 14:01:35,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 14:01:52,Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 14:02:18,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor
10/26/2024 14:02:37,Third year,Male,Every night,6-7 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 14:02:58,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average
10/26/2024 14:03:17,Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 14:03:37,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average
10/26/2024 14:03:57,Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Always,Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Poor
10/26/2024 14:04:14,Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average
10/26/2024 14:04:37,Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor
10/26/2024 14:04:55,Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average
10/26/2024 14:05:12,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
