Year_of_Study,Gender,Difficulty_Falling_Asleep,Sleep_Hours,Wakeup_Difficulty,Sleep_Quality,Concentration_Problems,Daytime_Fatigue,Missed_Classes,Impact_on_Deadlines,Device_Use_Before_Sleep,Caffeine_Consumption,Physical_Activity,Stress_Levels
Graduate student,Male,Every night,7-8 hours,Every night,Very poor,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Rarely (1-2 times a week),Average,Rarely,Sometimes,Rarely (1-2 times a month),No impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Extremely high stress
Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress
Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Graduate student,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Always,Rarely,Rarely (1-2 times a month),Severe impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very poor,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress
Graduate student,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress
Third year,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress
First year,Female,Every night,More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Third year,Male,Every night,More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Poor,Sometimes,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress
Graduate student,Female,Every night,7-8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Second year,Female,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Every day,Often (5-6 times a week),High stress
Third year,Female,Every night,7-8 hours,Every night,Very poor,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress
Third year,Male,Every night,More than 8 hours,Every night,Poor,Sometimes,Always,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Sometimes (3-4 times a week),4-5 hours,Sometimes (3-4 times a week),Average,Always,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress
Third year,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Very good,Often,Sometimes,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Rarely,Never,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress
Second year,Male,Often (5-6 times a week),6-7 hours,Rarely (1-2 times a week),Very poor,Never,Rarely,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Never,Sometimes (3-4 times a week),Low stress
Second year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Average,Rarely,Rarely,Always,Severe impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress
Graduate student,Female,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Second year,Female,Often (5-6 times a week),7-8 hours,Every night,Average,Often,Rarely,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Second year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Third year,Male,Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Very good,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Always,Always,Severe impact,Every night,Every day,Every day,High stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Female,Never,Less than 4 hours,Never,Good,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress
Second year,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress
Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Rarely,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Poor,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress
Third year,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress
First year,Female,Every night,7-8 hours,Often (5-6 times a week),Poor,Always,Sometimes,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Second year,Male,Often (5-6 times a week),4-5 hours,Never,Very poor,Rarely,Rarely,Rarely (1-2 times a month),No impact,Never,Rarely (1-2 times a week),Sometimes (3-4 times a week),Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Poor,Sometimes,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress
Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress
Graduate student,Male,Never,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress
Third year,Female,Rarely (1-2 times a week),4-5 hours,Never,Very good,Never,Sometimes,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress
Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Third year,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Second year,Male,Often (5-6 times a week),More than 8 hours,Every night,Average,Rarely,Sometimes,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress
Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Often,Always,Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),No stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
First year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Never,Severe impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress
Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Third year,Female,Every night,More than 8 hours,Every night,Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Every night,More than 8 hours,Every night,Very poor,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Never,Never,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress
First year,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Second year,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Rarely (1-2 times a week),Never,High stress
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress
Second year,Female,Every night,More than 8 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Poor,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Sometimes (3-4 times a week),7-8 hours,Every night,Average,Never,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),High stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),High stress
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Male,Every night,6-7 hours,Every night,Very good,Always,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Poor,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very poor,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Every day,High stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Female,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress
Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
First year,Female,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress
Second year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
First year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very poor,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Graduate student,Female,Every night,7-8 hours,Every night,Poor,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Sometimes,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress
Third year,Male,Every night,More than 8 hours,Every night,Very poor,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress
Second year,Female,Every night,More than 8 hours,Often (5-6 times a week),Very poor,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Female,Often (5-6 times a week),6-7 hours,Every night,Good,Often,Often,Sometimes (1-2 times a week),Moderate impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Always,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress
Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress
Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Very poor,Always,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Third year,Male,Sometimes (3-4 times a week),Less than 4 hours,Never,Average,Never,Rarely,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Every day,Extremely high stress
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress
Graduate student,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Female,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Rarely,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Second year,Female,Sometimes (3-4 times a week),Less than 4 hours,Rarely (1-2 times a week),Poor,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Never,Rarely (1-2 times a week),Never,Low stress
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress
Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress
